Year,Quarter,Month,Day,EPC BASELINE,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Year,Quarter,Month,Day
2022,Qtr 4,December,1,2022-12-01 00:00:00,2023,Qtr 1,January,19,2023,Qtr 1,January,28,2023,Qtr 1,March,6,2023,Qtr 1,March,19
2022,Qtr 4,December,1,2022-12-01 00:00:00,2023,Qtr 4,October,23,2023,Qtr 1,February,5,2023,Qtr 1,January,31,2023,Qtr 1,February,8
2022,Qtr 4,December,3,2022-12-03 00:00:00,2022,Qtr 4,December,10,2022,Qtr 2,April,23,2022,Qtr 3,July,4,2022,Qtr 3,July,6
2022,Qtr 4,December,3,2022-12-03 00:00:00,2022,Qtr 4,December,10,2023,Qtr 1,February,28,2023,Qtr 1,February,28,2023,Qtr 1,March,16
2022,Qtr 4,December,8,2022-12-08 00:00:00,2022,Qtr 4,November,20,,,,,2022,Qtr 3,August,1,2022,Qtr 3,August,3
2022,Qtr 4,December,8,2022-12-08 00:00:00,2022,Qtr 4,November,20,2023,Qtr 1,February,15,2023,Qtr 1,February,9,2023,Qtr 1,March,16
2022,Qtr 4,December,11,2022-12-11 00:00:00,2022,Qtr 4,November,10,,,,,2022,Qtr 3,August,24,2022,Qtr 3,September,8
2022,Qtr 4,December,12,2022-12-12 00:00:00,2022,Qtr 1,March,2,2022,Qtr 3,August,31,2022,Qtr 2,June,30,2022,Qtr 2,June,30
2022,Qtr 4,December,12,2022-12-12 00:00:00,2022,Qtr 1,March,2,2022,Qtr 3,September,10,2022,Qtr 3,September,7,2022,Qtr 3,September,20
2022,Qtr 4,December,13,2022-12-13 00:00:00,2022,Qtr 4,December,26,2022,Qtr 3,September,10,2023,Qtr 1,March,8,2023,Qtr 1,March,12
2022,Qtr 4,December,18,2022-12-18 00:00:00,2022,Qtr 4,December,21,2023,Qtr 2,May,20,,,,,,,,
2022,Qtr 4,December,21,2022-12-21 00:00:00,2021,Qtr 4,October,6,,,,,2021,Qtr 4,October,10,2021,Qtr 4,October,10
2022,Qtr 4,December,21,2022-12-21 00:00:00,2021,Qtr 4,October,17,,,,,2021,Qtr 4,October,10,2021,Qtr 4,October,10
